muscle10.5##BLOCKS= 1          
Group:	Samples	1
Sample	Wells	Pathlength	OD260	OD230	OD280	Conc	AvgConc	260/280	Avg Ratio	260/230	Avg Ratio
Sa11	A11	0.52	0.395	0.453	0.324	19.8	19.8	1.22	1.22	0.872	0.872

Concentration Factor =  50.0

 

 

 

~End
Original Filename: Data 10-13-16.pda   Date Last Saved: 13.10.2016
